id,name,era,start_year,end_year,region,aliases
"viceroyalty-peru","Viceroyalty of Peru","early-modern","1542","1824","South America",""
"viceroyalty-rio-plata","Viceroyalty of the Río de la Plata","early-modern","1776","1814","South America",""
"united-provinces-rio","United Provinces of the Río de la Plata","modern","1810","1831","South America",""
"empire-brazil","Empire of Brazil","modern","1822","1889","South America",""
"kingdom-hawaii","Kingdom of Hawaii","modern","1795","1893","Pacific",""
"australian-commonwealth","Commonwealth of Australia","modern","1901","9999","Oceania",""
"manchu-state","Manchukuo","modern","1932","1945","East Asia",""
"republic-china","Republic of China","modern","1912","9999","East Asia",""
"korean-peoples-republic","Provisional People’s Committee of North Korea","modern","1946","1948","Korea",""
"free-france","Free France","modern","1940","1944","Europe",""
"vichy-france","French State","modern","1940","1944","Western Europe","Vichy France"
"italian-social-republic","Italian Social Republic","modern","1943","1945","Italy","Salò Republic"
"ukrainian-people-republic","Ukrainian People’s Republic","modern","1917","1921","Eastern Europe",""
"west-ukrainian","West Ukrainian People’s Republic","modern","1918","1919","Eastern Europe",""
"belarusian-democratic-republic","Belarusian Democratic Republic","modern","1918","1919","Eastern Europe",""
"georgian-democratic-republic","Democratic Republic of Georgia","modern","1918","1921","Caucasus",""
"armenia-first-republic","First Republic of Armenia","modern","1918","1920","Caucasus",""
"azerbaijan-democratic-republic","Azerbaijan Democratic Republic","modern","1918","1920","Caucasus",""
"tannu-tuva","Tuvan People’s Republic","modern","1921","1944","Central Asia",""
"mongolian-peoples-republic","Mongolian People’s Republic","modern","1924","1992","East Asia",""
"east-turkestan-republic","East Turkestan Republic","modern","1933","1934","Central Asia",""
"second-east-turkestan","Second East Turkestan Republic","modern","1944","1949","Central Asia",""
"arab-republic-egypt-syria","United Arab Republic","modern","1958","1971","Middle East",""
"united-arab-states","United Arab States","modern","1958","1961","Middle East",""
"united-arab-republic","United Arab Republic","modern","1958","1971","Middle East",""
"rhodesia","Rhodesia","modern","1965","1979","Southern Africa","Rhodesian Front"
"katanga","State of Katanga","modern","1960","1963","Central Africa",""
"biafra","Republic of Biafra","modern","1967","1970","West Africa",""
"somaliland-1991","Republic of Somaliland","modern","1991","9999","Horn of Africa",""
"transkei","Transkei","modern","1976","1994","Southern Africa",""
"bophuthatswana","Bophuthatswana","modern","1977","1994","Southern Africa",""
"venda","Venda","modern","1979","1994","Southern Africa",""
"ciskei","Ciskei","modern","1981","1994","Southern Africa",""
"elam","Elam","ancient","-2700","-539","Iran",""
"urartu","Kingdom of Urartu","ancient","-860","-590","Caucasus",""
"lydia","Kingdom of Lydia","ancient","-1200","-546","Anatolia",""
"phrygia","Phrygian Kingdom","ancient","-1200","-695","Anatolia",""
"cappadocia","Kingdom of Cappadocia","ancient","-331","-17","Anatolia",""
"pontus","Kingdom of Pontus","ancient","-281","-62","Anatolia",""
"bithynia","Kingdom of Bithynia","ancient","-297","-74","Anatolia",""
"pergamon","Kingdom of Pergamon","ancient","-282","-133","Anatolia",""
"nabatea","Nabataean Kingdom","ancient","-312","106","Arabia",""
"saba","Kingdom of Saba","ancient","-1200","275","Arabia",""
"himyar","Himyarite Kingdom","ancient","-110","525","Arabia",""
"maurya","Maurya Empire","ancient","-322","-185","South Asia",""
"shunga","Shunga Empire","ancient","-185","-73","South Asia",""
"satavahana","Satavahana dynasty","ancient","-230","220","South Asia",""
"kushan","Kushan Empire","ancient","30","375","Central Asia",""
"gupta","Gupta Empire","ancient","320","550","South Asia",""
"pallava","Pallava Kingdom","ancient","275","897","South Asia",""
"chola-ancient","Early Chola Kingdom","ancient","-300","300","South India",""
"qin","Qin dynasty","ancient","-221","-206","China",""
"han","Han dynasty","ancient","-206","220","China",""
"xin","Xin dynasty","ancient","9","23","China",""
"three-kingdoms","Three Kingdoms","ancient","220","280","China",""
"western-jin","Western Jin","ancient","266","316","China",""
"eastern-jin","Eastern Jin","ancient","317","420","China",""
"southern-northern-dynasties","Southern and Northern Dynasties","medieval","420","589","China",""
"sui","Sui dynasty","medieval","581","618","China",""
"tang","Tang dynasty","medieval","618","907","China",""
"five-dynasties","Five Dynasties and Ten Kingdoms","medieval","907","979","China",""
"song","Song dynasty","medieval","960","1279","China",""
"western-xia","Western Xia","medieval","1038","1227","China",""
"goguryeo","Goguryeo","ancient","-37","668","Korea",""
"baekje","Baekje","ancient","-18","660","Korea",""
"silla","Silla","ancient","-57","935","Korea",""
"goryeo","Goryeo","medieval","918","1392","Korea",""
"yayoi","Yayoi polity complex","ancient","-300","300","Japan",""
"yamato","Yamato polity","ancient","250","710","Japan",""
"asuka","Asuka period polity","ancient","538","710","Japan",""
"nara","Nara-period Japan","medieval","710","794","Japan",""
"heian","Heian-period Japan","medieval","794","1185","Japan",""
"kamakura","Kamakura shogunate","medieval","1185","1333","Japan",""
"ashikaga","Ashikaga shogunate","medieval","1336","1573","Japan",""
"azuchi-momoyama","Azuchi–Momoyama polity","early-modern","1568","1600","Japan",""
"anglo-saxon-heptarchy","Anglo-Saxon Heptarchy","medieval","500","927","Britain",""
"wessex","Kingdom of Wessex","medieval","519","927","Britain",""
"mercia","Kingdom of Mercia","medieval","527","918","Britain",""
"northumbria","Kingdom of Northumbria","medieval","654","954","Britain",""
"kingdom-ireland","Lordship of Ireland","medieval","1171","1542","Ireland",""
"kingdom-scotland","Kingdom of Scotland","medieval","843","1707","Scotland",""
"kingdom-england","Kingdom of England","medieval","927","1707","England",""
"great-britain","Kingdom of Great Britain","early-modern","1707","1801","Britain",""
"united-kingdom","United Kingdom of Great Britain and Ireland","modern","1801","1922","Britain",""
"visigoths","Visigothic Kingdom","medieval","418","721","Western Europe",""
"ostrogoths","Ostrogothic Kingdom","medieval","493","553","Italy",""
"lombards","Kingdom of the Lombards","medieval","568","774","Italy",""
"franks","Frankish Kingdom","medieval","481","843","Western Europe",""
"merovingian","Merovingian Kingdom","medieval","450","751","Western Europe",""
"carolingian","Carolingian Empire","medieval","800","888","Western Europe",""
"west-francia","West Francia","medieval","843","987","France",""
"middle-francia","Middle Francia","medieval","843","855","Western Europe",""
"east-francia","East Francia","medieval","843","962","Germany",""
"burgundy-kingdom","Kingdom of Burgundy","medieval","411","1378","Western Europe",""
"kingdom-navarre","Kingdom of Navarre","medieval","824","1620","Iberia",""
"crown-aragon","Crown of Aragon","medieval","1164","1716","Iberia",""
"kingdom-castile","Kingdom of Castile","medieval","1065","1230","Iberia",""
"kingdom-leon","Kingdom of León","medieval","910","1230","Iberia",""
"kingdom-portugal","Kingdom of Portugal","medieval","1139","1910","Portugal",""
"granada","Emirate of Granada","medieval","1230","1492","Iberia",""
"kyivan-rus","Kievan Rus","medieval","882","1240","Eastern Europe",""
"principality-vladimir","Grand Principality of Vladimir","medieval","1157","1389","Eastern Europe",""
"grand-duchy-lithuania","Grand Duchy of Lithuania","medieval","1236","1795","Eastern Europe",""
"teutonic-order-state","State of the Teutonic Order","medieval","1226","1525","Baltic",""
"livonian-confederation","Livonian Confederation","medieval","1228","1561","Baltic",""
"crimean-khanate","Crimean Khanate","medieval","1441","1783","Black Sea",""
"cossack-hetmanate","Cossack Hetmanate","early-modern","1648","1764","Eastern Europe",""
"free-city-krakow","Free City of Kraków","modern","1815","1846","Central Europe",""
"austria-hungary","Austria-Hungary","modern","1867","1918","Central Europe",""
"german-confederation","German Confederation","modern","1815","1866","Central Europe",""
"weimar-republic","Weimar Republic","modern","1919","1933","Germany",""
"free-city-danzig","Free City of Danzig","modern","1920","1939","Baltic",""
"republic-of-ruthenia","Carpatho-Ukraine","modern","1939","1939","Central Europe",""
"first-french-republic","First French Republic","modern","1792","1804","France",""
"first-empire","First French Empire","early-modern","1804","1815","France",""
"restoration-france","Bourbon Restoration","early-modern","1814","1830","France",""
"july-monarchy","July Monarchy","modern","1830","1848","France",""
"second-republic-france","Second French Republic","modern","1848","1852","France",""
"second-empire-france","Second French Empire","modern","1852","1870","France",""
"third-republic-france","French Third Republic","modern","1870","1940","France",""
"fourth-republic-france","French Fourth Republic","modern","1946","1958","France",""
"kingdom-italy","Kingdom of Italy","modern","1861","1946","Italy",""
"papal-states","Papal States","medieval","756","1870","Italy",""
"republic-venice","Republic of Venice","medieval","697","1797","Italy",""
"republic-genoa","Republic of Genoa","medieval","1005","1797","Italy",""
"kingdom-two-sicilies","Kingdom of the Two Sicilies","modern","1816","1861","Italy",""
"mamluk-sultanate","Mamluk Sultanate","medieval","1250","1517","Middle East",""
"ayyubid-sultanate","Ayyubid Sultanate","medieval","1171","1260","Middle East",""
"seljuk-rum","Sultanate of Rum","medieval","1077","1308","Anatolia",""
"latin-empire","Latin Empire","medieval","1204","1261","Balkans",""
"empire-nicaea","Empire of Nicaea","medieval","1204","1261","Anatolia",""
"empire-trebizond","Empire of Trebizond","medieval","1204","1461","Black Sea",""
"byzantine","Byzantine Empire","medieval","330","1453","Eastern Mediterranean","Eastern Roman Empire"
"afsharid","Afsharid Iran","early-modern","1736","1796","Iran",""
"zand","Zand dynasty","early-modern","1751","1794","Iran",""
"qajar","Qajar Iran","early-modern","1789","1925","Iran",""
"pahlavi","Pahlavi Iran","modern","1925","1979","Iran",""
"durrani","Durrani Empire","early-modern","1747","1823","Afghanistan",""
"barakzai","Emirate of Afghanistan","modern","1823","1926","Afghanistan",""
"ghurid","Ghurid Empire","medieval","879","1215","Central Asia",""
"shaybanid","Shaybanid Khanate","early-modern","1500","1599","Central Asia",""
"kokand","Khanate of Kokand","early-modern","1709","1876","Central Asia",""
"khiva","Khanate of Khiva","early-modern","1511","1920","Central Asia",""
"bukhara","Emirate of Bukhara","early-modern","1785","1920","Central Asia",""
"mali-empire","Mali Empire","medieval","1235","1645","West Africa",""
"sokoto","Sokoto Caliphate","early-modern","1804","1903","West Africa",""
"dahomey","Kingdom of Dahomey","early-modern","1600","1894","West Africa",""
"oyo","Oyo Empire","early-modern","1300","1896","West Africa",""
"benin","Kingdom of Benin","medieval","1180","1897","West Africa",""
"lunda","Lunda Kingdom","early-modern","1600","1887","Central Africa",""
"loango","Kingdom of Loango","early-modern","1600","1883","Central Africa",""
"zulu","Zulu Kingdom","modern","1816","1897","Southern Africa",""
"matabele","Ndebele Kingdom","modern","1820","1896","Southern Africa",""
"carolingian-empire","Carolingian Empire","medieval","800","888","Western Europe",""
"holy-roman","Holy Roman Empire","medieval","962","1806","Central Europe",""
"hanseatic-league","Hanseatic League","medieval","1159","1669","Northern Europe",""
"kalmar-union","Kalmar Union","medieval","1397","1523","Scandinavia",""
"denmark-norway","Denmark–Norway","early-modern","1536","1814","Scandinavia",""
"sweden-finland","Kingdom of Sweden with Finland","early-modern","1523","1809","Scandinavia",""
"russian-tsardom","Tsardom of Russia","early-modern","1547","1721","Russia",""
"provisional-government-russia","Russian Provisional Government","modern","1917","1917","Russia",""
"new-granada","Republic of New Granada","modern","1831","1858","South America",""
"granadine-confederation","Granadine Confederation","modern","1858","1863","South America",""
"united-states-colombia","United States of Colombia","modern","1863","1886","South America",""
"viceroyalty-new-granada","Viceroyalty of New Granada","early-modern","1717","1819","South America",""
"captaincy-general-venezuela","Captaincy General of Venezuela","early-modern","1777","1821","South America",""
"captaincy-general-guatemala","Captaincy General of Guatemala","early-modern","1609","1821","Central America",""
"first-mexican-empire","First Mexican Empire","modern","1821","1823","North America",""
"central-america-federation","Federal Republic of Central America","modern","1823","1841","Central America",""
"haitian-empire","First Empire of Haiti","modern","1804","1806","Caribbean",""
"haitian-kingdom","Kingdom of Haiti","modern","1811","1820","Caribbean",""
"dominican-restoration","Second Dominican Republic founding","modern","1865","1865","Caribbean",""
"confederate-states","Confederate States of America","modern","1861","1865","North America",""
"tarascan","Tarascan State","medieval","1300","1530","Mesoamerica",""
"maya-classic","Classic Maya polities","ancient","250","900","Mesoamerica",""
"teotihuacan","Teotihuacan polity","ancient","100","550","Mesoamerica",""
"mapuche-polities","Mapuche polities","early-modern","1500","1883","Southern South America",""
"tawantinsuyu","Tawantinsuyu","medieval","1438","1533","Andes","Inca Empire"
"maharajahit","Majapahit","medieval","1293","1527","Southeast Asia",""
"lan-xang","Lan Xang","early-modern","1353","1707","Laos",""
"nguyen-vietnam","Nguyễn dynasty Vietnam","early-modern","1802","1945","Vietnam",""
"brunei-sultanate","Brunei Sultanate","early-modern","1368","9999","Borneo",""
"sulu-sultanate","Sulu Sultanate","early-modern","1450","1915","Philippines",""
"sikh-empire","Sikh Empire","early-modern","1799","1849","South Asia",""
"hyderabad","Hyderabad State","modern","1724","1948","South Asia",""
"mysore","Kingdom of Mysore","early-modern","1399","1947","South Asia",""
"awadh","Kingdom of Awadh","early-modern","1722","1858","South Asia",""
"kingdom-egypt","Kingdom of Egypt","modern","1922","1953","Egypt",""
"sultanate-egypt","Sultanate of Egypt","early-modern","1914","1922","Egypt",""
"libya-kingdom","Kingdom of Libya","modern","1951","1969","North Africa",""
"tunisian-regency","Beylik of Tunis","early-modern","1574","1881","North Africa",""
"algerian-regency","Regency of Algiers","early-modern","1516","1830","North Africa",""
"morocco-sultanate","Sultanate of Morocco","early-modern","1660","1957","North Africa",""
"mandate-palestine","Mandate for Palestine","modern","1920","1948","Levant",""
"transjordan-emirate","Emirate of Transjordan","modern","1921","1946","Levant",""
"lebanon-state","State of Greater Lebanon","modern","1920","1943","Levant",""
"syrian-kingdom","Arab Kingdom of Syria","modern","1920","1920","Levant",""
"kingdom-iraq","Kingdom of Iraq","modern","1921","1958","Mesopotamia",""
"first-republic-china","Republic of China government","modern","1912","1949","East Asia",""
"warlord-era-china","Chinese warlord governments","modern","1916","1928","China",""
"provisional-republic-korea","Provisional Government of the Republic of Korea","modern","1919","1948","Korea",""
"empire-korea","Korean Empire","modern","1897","1910","Korea",""
"westphalian-netherlands","Dutch Republic","early-modern","1581","1795","Netherlands",""
"batavian-republic","Batavian Republic","early-modern","1795","1806","Netherlands",""
"kingdom-holland","Kingdom of Holland","early-modern","1806","1810","Netherlands",""
"first-portuguese-republic","First Portuguese Republic","modern","1910","1926","Portugal",""
"portuguese-first-empire","Portuguese Empire","early-modern","1415","1999","Global",""
"italian-colonial-empire","Italian colonial empire","modern","1890","1943","Africa",""
"japanese-empire","Empire of Japan","modern","1868","1947","East Asia",""
"achaemenid-successors","Atropatene","ancient","-321","226","Iran",""
"armenian-kingdom","Kingdom of Armenia","ancient","-190","428","Caucasus",""
"sophene","Kingdom of Sophene","ancient","-260","-94","Caucasus",""
"commagene","Kingdom of Commagene","ancient","-163","72","Anatolia",""
"cilician-armenia","Armenian Kingdom of Cilicia","medieval","1080","1375","Anatolia",""
"osroene","Kingdom of Osroene","ancient","-132","244","Mesopotamia",""
"edessa","County of Edessa","medieval","1098","1144","Levant",""
"antioch","Principality of Antioch","medieval","1098","1268","Levant",""
"tripoli-crusader","County of Tripoli","medieval","1102","1289","Levant",""
"jerusalem-crusader","Kingdom of Jerusalem","medieval","1099","1291","Levant",""
"cyprus-kingdom","Kingdom of Cyprus","medieval","1192","1489","Eastern Mediterranean",""
"rustamid","Rustamid Imamate","medieval","777","909","North Africa",""
"idrisid","Idrisid dynasty","medieval","788","974","North Africa",""
"aghlabid","Aghlabid Emirate","medieval","800","909","North Africa",""
"fatimid","Fatimid Caliphate","medieval","909","1171","North Africa",""
"zengid","Zengid dynasty","medieval","1127","1250","Middle East",""
"artuqid","Artuqid dynasty","medieval","1102","1409","Anatolia",""
"karamanids","Karamanids","medieval","1250","1487","Anatolia",""
"danishmends","Danishmendids","medieval","1071","1178","Anatolia",""
"jalayirid","Jalayirid Sultanate","medieval","1335","1432","Mesopotamia",""
"kara-koyunlu","Kara Koyunlu","medieval","1374","1468","Iran","Black Sheep Turkmen"
"aq-qoyunlu","Aq Qoyunlu","medieval","1378","1501","Iran","White Sheep Turkmen"
"georgia-bagratid","Kingdom of Georgia","medieval","1008","1490","Caucasus",""
"bagratid-armenia","Bagratid Kingdom of Armenia","medieval","885","1045","Caucasus",""
"abkhazia","Kingdom of Abkhazia","medieval","778","1008","Caucasus",""
"shirvan","Shirvanshah state","medieval","861","1538","Caucasus",""
"khazar","Khazar Khaganate","medieval","650","969","Pontic steppe",""
"pecheneg","Pecheneg confederation","medieval","800","1091","Eastern Europe",""
"cumans","Cuman-Kipchak confederation","medieval","1050","1241","Eurasian steppe",""
"volga-bulgaria","Volga Bulgaria","medieval","700","1236","Eastern Europe",""
"first-bulgarian","First Bulgarian Empire","medieval","681","1018","Balkans",""
"second-bulgarian","Second Bulgarian Empire","medieval","1185","1396","Balkans",""
"serbian-medieval","Medieval Serbian state","medieval","780","1459","Balkans",""
"serbian-empire","Serbian Empire","medieval","1346","1371","Balkans",""
"bosnia-kingdom","Kingdom of Bosnia","medieval","1377","1463","Balkans",""
"croatia-medieval","Kingdom of Croatia","medieval","925","1102","Balkans",""
"hungary-kingdom","Kingdom of Hungary","medieval","1000","1918","Central Europe",""
"bohemia-kingdom","Kingdom of Bohemia","medieval","1198","1918","Central Europe",""
"moravia-great","Great Moravia","medieval","833","907","Central Europe",""
"denmark-kingdom","Kingdom of Denmark","medieval","800","9999","Scandinavia",""
"norway-kingdom","Kingdom of Norway","medieval","872","9999","Scandinavia",""
"sweden-kingdom","Kingdom of Sweden","medieval","970","9999","Scandinavia",""
"iceland-commonwealth","Icelandic Commonwealth","medieval","930","1262","North Atlantic",""
"tver-principality","Principality of Tver","medieval","1247","1485","Eastern Europe",""
"ryazan-principality","Principality of Ryazan","medieval","1129","1521","Eastern Europe",""
"galicia-volhynia","Kingdom of Galicia-Volhynia","medieval","1199","1349","Eastern Europe",""
"crimea-gothic","Principality of Theodoro","medieval","1100","1475","Crimea",""
"moldavia","Principality of Moldavia","medieval","1349","1859","Eastern Europe",""
"wallachia","Principality of Wallachia","medieval","1330","1859","Eastern Europe",""
"transylvania-principality","Principality of Transylvania","early-modern","1570","1711","Central Europe",""
"livonia-order","Livonian Order","medieval","1237","1561","Baltic",""
"teutonic-prussia","Duchy of Prussia","early-modern","1525","1701","Baltic",""
"courland","Duchy of Courland and Semigallia","early-modern","1561","1795","Baltic",""
"ragusa","Republic of Ragusa","medieval","1358","1808","Adriatic",""
"florence","Republic of Florence","medieval","1115","1532","Italy",""
"tuscany","Grand Duchy of Tuscany","early-modern","1569","1859","Italy",""
"savoy","Duchy of Savoy","medieval","1003","1416","Italy",""
"piedmont-sardinia","Kingdom of Sardinia","early-modern","1720","1861","Italy",""
"modena","Duchy of Modena and Reggio","early-modern","1452","1859","Italy",""
"parma","Duchy of Parma","early-modern","1545","1859","Italy",""
"mantua","Duchy of Mantua","early-modern","1328","1708","Italy",""
"milan","Duchy of Milan","early-modern","1395","1797","Italy",""
"naples-kingdom","Kingdom of Naples","medieval","1282","1816","Italy",""
"sicily-kingdom","Kingdom of Sicily","medieval","1130","1816","Italy",""
"swiss-confederacy","Old Swiss Confederacy","medieval","1291","1798","Central Europe",""
"netherlands-kingdom","Kingdom of the Netherlands","modern","1815","9999","Western Europe",""
"belgium-kingdom","Kingdom of Belgium","modern","1830","9999","Western Europe",""
"luxembourg-grand","Grand Duchy of Luxembourg","modern","1815","9999","Western Europe",""
"spain-kingdom","Kingdom of Spain","early-modern","1479","9999","Iberia",""
"andalus","Umayyad Emirate of Córdoba","medieval","756","929","Iberia",""
"caliphate-cordoba","Caliphate of Córdoba","medieval","929","1031","Iberia",""
"taifa-seville","Abbadid Taifa of Seville","medieval","1023","1091","Iberia",""
"almoravid","Almoravid dynasty","medieval","1040","1147","North Africa and Iberia",""
"almohad","Almohad Caliphate","medieval","1121","1269","North Africa and Iberia",""
"marinid","Marinid Sultanate","medieval","1244","1465","North Africa",""
"saadi","Saadi Sultanate","early-modern","1549","1659","Morocco",""
"alaouite","Alaouite Sultanate","early-modern","1631","1912","Morocco",""
"hafsid","Hafsid Sultanate","medieval","1229","1574","North Africa",""
"zayyanid","Zayyanid Kingdom","medieval","1235","1556","North Africa",""
"mamluk-bahri","Bahri Mamluk Sultanate","medieval","1250","1382","Egypt",""
"mamluk-burji","Burji Mamluk Sultanate","medieval","1382","1517","Egypt",""
"tulunid","Tulunid Emirate","medieval","868","905","Egypt",""
"ikhshidid","Ikhshidid dynasty","medieval","935","969","Egypt",""
"hamdanid","Hamdanid Emirate","medieval","890","1004","Mesopotamia",""
"buyid","Buyid dynasty","medieval","934","1062","Iran and Iraq",""
"samanid","Samanid Empire","medieval","819","999","Central Asia",""
"saffarid","Saffarid dynasty","medieval","861","1003","Iran",""
"tahirid","Tahirid dynasty","medieval","821","873","Iran and Central Asia",""
