id,name,era,start_year,end_year,region,aliases
"bohemia-kingdom","Kingdom of Bohemia","medieval","1198","1918","Central Europe",""
"moravia-great","Great Moravia","medieval","833","907","Central Europe",""
"denmark-kingdom","Kingdom of Denmark","medieval","800","9999","Scandinavia",""
"norway-kingdom","Kingdom of Norway","medieval","872","9999","Scandinavia",""
"sweden-kingdom","Kingdom of Sweden","medieval","970","9999","Scandinavia",""
"iceland-commonwealth","Icelandic Commonwealth","medieval","930","1262","North Atlantic",""
"tver-principality","Principality of Tver","medieval","1247","1485","Eastern Europe",""
"ryazan-principality","Principality of Ryazan","medieval","1129","1521","Eastern Europe",""
"galicia-volhynia","Kingdom of Galicia-Volhynia","medieval","1199","1349","Eastern Europe",""
"crimea-gothic","Principality of Theodoro","medieval","1100","1475","Crimea",""
"moldavia","Principality of Moldavia","medieval","1349","1859","Eastern Europe",""
"wallachia","Principality of Wallachia","medieval","1330","1859","Eastern Europe",""
"transylvania-principality","Principality of Transylvania","early-modern","1570","1711","Central Europe",""
"livonia-order","Livonian Order","medieval","1237","1561","Baltic",""
"teutonic-prussia","Duchy of Prussia","early-modern","1525","1701","Baltic",""
"courland","Duchy of Courland and Semigallia","early-modern","1561","1795","Baltic",""
"ragusa","Republic of Ragusa","medieval","1358","1808","Adriatic",""
"florence","Republic of Florence","medieval","1115","1532","Italy",""
"tuscany","Grand Duchy of Tuscany","early-modern","1569","1859","Italy",""
"savoy","Duchy of Savoy","medieval","1003","1416","Italy",""
"piedmont-sardinia","Kingdom of Sardinia","early-modern","1720","1861","Italy",""
"modena","Duchy of Modena and Reggio","early-modern","1452","1859","Italy",""
"parma","Duchy of Parma","early-modern","1545","1859","Italy",""
"mantua","Duchy of Mantua","early-modern","1328","1708","Italy",""
"milan","Duchy of Milan","early-modern","1395","1797","Italy",""
"naples-kingdom","Kingdom of Naples","medieval","1282","1816","Italy",""
"sicily-kingdom","Kingdom of Sicily","medieval","1130","1816","Italy",""
"swiss-confederacy","Old Swiss Confederacy","medieval","1291","1798","Central Europe",""
"netherlands-kingdom","Kingdom of the Netherlands","modern","1815","9999","Western Europe",""
"belgium-kingdom","Kingdom of Belgium","modern","1830","9999","Western Europe",""
"luxembourg-grand","Grand Duchy of Luxembourg","modern","1815","9999","Western Europe",""
"spain-kingdom","Kingdom of Spain","early-modern","1479","9999","Iberia",""
"andalus","Umayyad Emirate of Córdoba","medieval","756","929","Iberia",""
"caliphate-cordoba","Caliphate of Córdoba","medieval","929","1031","Iberia",""
"taifa-seville","Abbadid Taifa of Seville","medieval","1023","1091","Iberia",""
"almoravid","Almoravid dynasty","medieval","1040","1147","North Africa and Iberia",""
"almohad","Almohad Caliphate","medieval","1121","1269","North Africa and Iberia",""
"marinid","Marinid Sultanate","medieval","1244","1465","North Africa",""
"saadi","Saadi Sultanate","early-modern","1549","1659","Morocco",""
"alaouite","Alaouite Sultanate","early-modern","1631","1912","Morocco",""
"hafsid","Hafsid Sultanate","medieval","1229","1574","North Africa",""
"zayyanid","Zayyanid Kingdom","medieval","1235","1556","North Africa",""
"mamluk-bahri","Bahri Mamluk Sultanate","medieval","1250","1382","Egypt",""
"mamluk-burji","Burji Mamluk Sultanate","medieval","1382","1517","Egypt",""
"tulunid","Tulunid Emirate","medieval","868","905","Egypt",""
"ikhshidid","Ikhshidid dynasty","medieval","935","969","Egypt",""
"hamdanid","Hamdanid Emirate","medieval","890","1004","Mesopotamia",""
"buyid","Buyid dynasty","medieval","934","1062","Iran and Iraq",""
"samanid","Samanid Empire","medieval","819","999","Central Asia",""
"saffarid","Saffarid dynasty","medieval","861","1003","Iran",""
"tahirid","Tahirid dynasty","medieval","821","873","Iran and Central Asia",""
"delhi-mamluk","Mamluk dynasty of Delhi","medieval","1206","1290","India",""
"khilji","Khalji dynasty","medieval","1290","1320","India",""
"tughlaq","Tughlaq dynasty","medieval","1320","1414","India",""
"sayyid-delhi","Sayyid dynasty","medieval","1414","1451","India",""
"lodi","Lodi dynasty","medieval","1451","1526","India",""
"bengal-sultanate","Bengal Sultanate","medieval","1352","1576","South Asia",""
"bahmani","Bahmani Sultanate","medieval","1347","1527","South Asia",""
"vijayanagara","Vijayanagara Empire","medieval","1336","1646","South India",""
"ahom","Ahom Kingdom","medieval","1228","1826","Northeast India",""
"mewar","Kingdom of Mewar","medieval","734","1949","India",""
"marwar","Kingdom of Marwar","medieval","1226","1949","India",""
"travancore","Kingdom of Travancore","early-modern","1729","1949","South India",""
"cochin","Kingdom of Cochin","medieval","1102","1949","South India",""
"nepal-kingdom","Kingdom of Nepal","modern","1768","2008","Himalayas",""
"bhutan-kingdom","Kingdom of Bhutan","modern","1907","9999","Himalayas",""
"tibet-ganden","Ganden Phodrang","early-modern","1642","1951","Tibet",""
"tibetan-empire","Tibetan Empire","medieval","618","842","Tibet",""
"khotan","Kingdom of Khotan","ancient","-56","1001","Central Asia",""
"turfan","Kingdom of Qocho","medieval","856","1284","Central Asia",""
"uyghur-khaganate","Uyghur Khaganate","medieval","744","840","Central Asia",""
"karluk","Karluk Yabghu State","medieval","756","940","Central Asia",""
"qara-khitai","Qara Khitai","medieval","1124","1218","Central Asia","Western Liao"
"kara-khanid","Kara-Khanid Khanate","medieval","840","1212","Central Asia",""
"moghulistan","Moghulistan","medieval","1347","1462","Central Asia",""
"kazakh-khanate","Kazakh Khanate","early-modern","1465","1847","Central Asia",""
"nogai-horde","Nogai Horde","early-modern","1440","1634","Eurasian steppe",""
"astrakhan-khanate","Astrakhan Khanate","early-modern","1466","1556","Eurasian steppe",""
"kazan-khanate","Kazan Khanate","early-modern","1438","1552","Eurasian steppe",""
"sibir-khanate","Sibir Khanate","early-modern","1490","1598","Siberia",""
"kalmyk-khanate","Kalmyk Khanate","early-modern","1630","1771","Eurasian steppe",""
"dzungar-khanate","Dzungar Khanate","early-modern","1634","1755","Central Asia",""
"northern-yuan","Northern Yuan","early-modern","1368","1635","Mongolia",""
"dali","Kingdom of Dali","medieval","937","1253","Yunnan",""
"nanzhao","Nanzhao","medieval","738","902","Yunnan",""
"chenla","Chenla","medieval","550","802","Southeast Asia",""
"funan","Funan","ancient","1","550","Southeast Asia",""
"champa","Champa","medieval","192","1832","Vietnam",""
"dvaravati","Dvaravati","medieval","600","1100","Mainland Southeast Asia",""
"pyu-city-states","Pyu city-states","ancient","200","900","Myanmar",""
"thaton","Thaton Kingdom","medieval","900","1057","Myanmar",""
"taungoo","Toungoo dynasty","early-modern","1510","1752","Myanmar",""
"konbaung","Konbaung dynasty","early-modern","1752","1885","Myanmar",""
"lan-na","Lan Na","medieval","1296","1775","Thailand",""
"sukhothai","Sukhothai Kingdom","medieval","1238","1438","Thailand",""
"thailand-rattanakosin","Rattanakosin Kingdom","modern","1782","1932","Thailand",""
"malacca-sultanate","Malacca Sultanate","early-modern","1400","1511","Malay Peninsula",""
"aceh-sultanate","Aceh Sultanate","early-modern","1496","1903","Sumatra",""
"demak","Demak Sultanate","early-modern","1475","1554","Java",""
"mataram-sultanate","Mataram Sultanate","early-modern","1587","1755","Java",""
"sultanate-banten","Banten Sultanate","early-modern","1526","1813","Java",""
"makassar","Gowa Sultanate","early-modern","1300","1906","Sulawesi",""
"ternate","Sultanate of Ternate","early-modern","1257","1914","Maluku",""
"tidore","Sultanate of Tidore","early-modern","1100","1900","Maluku",""
"kotte","Kingdom of Kotte","early-modern","1412","1597","Sri Lanka",""
"kandy","Kingdom of Kandy","early-modern","1469","1815","Sri Lanka",""
"anuradhapura","Anuradhapura Kingdom","ancient","-377","1017","Sri Lanka",""
"polonnaruwa","Polonnaruwa Kingdom","medieval","1056","1232","Sri Lanka",""
"ryukyu","Ryukyu Kingdom","early-modern","1429","1879","Ryukyu",""
"balhae","Balhae","medieval","698","926","Korea and Manchuria",""
"later-jin","Later Jin","medieval","1616","1636","Manchuria",""
"eastern-wu","Eastern Wu","ancient","229","280","China",""
"shu-han","Shu Han","ancient","221","263","China",""
"cao-wei","Cao Wei","ancient","220","266","China",""
"southern-song","Southern Song","medieval","1127","1279","China",""
"northern-song","Northern Song","medieval","960","1127","China",""
"kashmir-karkota","Karkota dynasty","medieval","625","855","Kashmir",""
"pala","Pala Empire","medieval","750","1161","South Asia",""
"rashtrakuta","Rashtrakuta Empire","medieval","753","982","South India",""
"pratihara","Gurjara-Pratihara Empire","medieval","730","1036","North India",""
"chalukya-western","Western Chalukya Empire","medieval","973","1189","South India",""
"chalukya-eastern","Eastern Chalukyas","medieval","624","1189","South India",""
"hoysala","Hoysala Empire","medieval","1026","1343","South India",""
"kakatiya","Kakatiya dynasty","medieval","1163","1323","South India",""
"yadava-devagiri","Seuna Yadava dynasty","medieval","850","1317","South India",""
"paramara","Paramara dynasty","medieval","800","1305","India",""
"solanki","Chaulukya dynasty","medieval","940","1244","India",""
"sena","Sena dynasty","medieval","1070","1230","Bengal",""
"kamarupa","Kamarupa","ancient","350","1140","Northeast India",""
"kashmir-sultanate","Sultanate of Kashmir","medieval","1339","1586","Kashmir",""
"malwa-sultanate","Malwa Sultanate","medieval","1392","1562","India",""
"gujarat-sultanate","Gujarat Sultanate","medieval","1407","1573","India",""
"jaunpur-sultanate","Jaunpur Sultanate","medieval","1394","1479","India",""
"madurai-sultanate","Madurai Sultanate","medieval","1335","1378","South India",""
"sikh-empire","Sikh Empire","early-modern","1799","1849","Punjab",""
"bengal-nawab","Nawab of Bengal","early-modern","1717","1757","Bengal",""
"carnatic","Nawab of the Carnatic","early-modern","1692","1801","South India",""
"sindh-talpur","Talpur dynasty of Sindh","early-modern","1783","1843","South Asia",""
"kashmir-dogra","Dogra dynasty of Jammu and Kashmir","modern","1846","1952","Kashmir",""
"manipur-kingdom","Kingdom of Manipur","medieval","1110","1950","Northeast India",""
"tripura-kingdom","Kingdom of Tripura","medieval","590","1949","Northeast India",""
"ethiopia-solomonic","Solomonic Empire","medieval","1270","1974","Ethiopia",""
"zagwe","Zagwe dynasty","medieval","1137","1270","Ethiopia",""
"adalisultanate","Adal Sultanate","medieval","1415","1577","Horn of Africa",""
"ifat","Ifat Sultanate","medieval","1285","1415","Horn of Africa",""
"ajuran","Ajuran Sultanate","medieval","1300","1700","Horn of Africa",""
"warsangali","Warsangali Sultanate","medieval","1298","1884","Horn of Africa",""
"rozvi","Rozvi Empire","early-modern","1684","1834","Southern Africa",""
"ndebele","Ndebele Kingdom","modern","1820","1896","Southern Africa",""
"lesotho","Basutoland Kingdom","modern","1822","9999","Southern Africa",""
"swazi","Swazi Kingdom","modern","1745","9999","Southern Africa",""
"rwanda-kingdom","Kingdom of Rwanda","medieval","1600","1962","East Africa",""
"burundi-kingdom","Kingdom of Burundi","medieval","1600","1966","East Africa",""
"madagascar-merina","Merina Kingdom","early-modern","1787","1897","Madagascar",""
"zanzibar","Sultanate of Zanzibar","early-modern","1856","1964","East Africa",""
"oman-imamate","Ibadi Imamate of Oman","medieval","751","1154","Arabia",""
"nabhani","Nabhani dynasty of Oman","medieval","1154","1624","Arabia",""
"yaruba","Yaruba dynasty","early-modern","1624","1744","Oman",""
"al-said","Al Said Sultanate of Oman","early-modern","1744","9999","Oman",""
"hijaz-hashimite","Kingdom of Hejaz","modern","1916","1925","Arabia",""
"nejd-sultanate","Sultanate of Nejd","modern","1921","1926","Arabia",""
"saudi-third","Kingdom of Saudi Arabia","modern","1932","9999","Arabia",""
"yemen-mutawakkilite","Mutawakkilite Kingdom of Yemen","modern","1918","1962","Arabia",""
"kuwait-sheikhdom","Sheikhdom of Kuwait","modern","1756","1961","Arabia",""
"bahrain-sheikhdom","Sheikhdom of Bahrain","modern","1783","1971","Arabia",""
"trucial-states","Trucial States","modern","1820","1971","Arabia",""
"uae","United Arab Emirates","modern","1971","9999","Arabia",""
"israel","State of Israel","modern","1948","9999","Levant",""
"jordan","Hashemite Kingdom of Jordan","modern","1946","9999","Levant",""
"lebanon-republic","Lebanese Republic","modern","1943","9999","Levant",""
"syrian-republic","Syrian Republic","modern","1930","9999","Levant",""
"iraq-republic","Republic of Iraq","modern","1958","9999","Mesopotamia",""
"iran-islamic","Islamic Republic of Iran","modern","1979","9999","Iran",""
"turkey-republic","Republic of Turkey","modern","1923","9999","Anatolia",""
"afghanistan-republic","Republic of Afghanistan","modern","1973","1978","Afghanistan",""
"afghanistan-democratic","Democratic Republic of Afghanistan","modern","1978","1992","Afghanistan",""
"afghanistan-islamic","Islamic State of Afghanistan","modern","1992","2001","Afghanistan",""
"russia-federation","Russian Federation","modern","1991","9999","Eurasia",""
"ukraine-republic","Republic of Ukraine","modern","1991","9999","Eastern Europe",""
"belarus-republic","Republic of Belarus","modern","1991","9999","Eastern Europe",""
"georgia-republic","Georgia","modern","1991","9999","Caucasus",""
"armenia-republic","Republic of Armenia","modern","1991","9999","Caucasus",""
"azerbaijan-republic","Republic of Azerbaijan","modern","1991","9999","Caucasus",""
"estonia-republic","Republic of Estonia","modern","1918","9999","Baltic",""
"latvia-republic","Republic of Latvia","modern","1918","9999","Baltic",""
"lithuania-republic","Republic of Lithuania","modern","1918","9999","Baltic",""
"poland-republic","Republic of Poland","modern","1918","9999","Central Europe",""
"hungary-republic","Republic of Hungary","modern","1918","9999","Central Europe",""
"romania-kingdom","Kingdom of Romania","modern","1881","1947","Eastern Europe",""
"romania-republic","Socialist Republic of Romania","modern","1947","1989","Eastern Europe",""
"bulgaria-kingdom","Kingdom of Bulgaria","modern","1908","1946","Balkans",""
"bulgaria-peoples","People's Republic of Bulgaria","modern","1946","1990","Balkans",""
"albania-kingdom","Albanian Kingdom","modern","1928","1939","Balkans",""
"albania-peoples","People's Republic of Albania","modern","1946","1976","Balkans",""
"croatia-ndh","Independent State of Croatia","modern","1941","1945","Balkans",""
"slovakia-war","Slovak Republic 1939","modern","1939","1945","Central Europe",""
"protectorate-bohemia","Protectorate of Bohemia and Moravia","modern","1939","1945","Central Europe",""
"slovak-republic","Slovak Republic","modern","1993","9999","Central Europe",""
"czech-republic","Czech Republic","modern","1993","9999","Central Europe",""
"german-federal","Federal Republic of Germany","modern","1949","9999","Central Europe",""
"german-democratic","German Democratic Republic","modern","1949","1990","Central Europe",""
"yugoslavia-federal","Federal Republic of Yugoslavia","modern","1992","2003","Balkans",""
"serbia-montenegro","State Union of Serbia and Montenegro","modern","2003","2006","Balkans",""
"bosnia-republic","Republic of Bosnia and Herzegovina","modern","1992","9999","Balkans",""
"croatia-republic","Republic of Croatia","modern","1991","9999","Balkans",""
"slovenia-republic","Republic of Slovenia","modern","1991","9999","Balkans",""
"montenegro-republic","Republic of Montenegro","modern","2006","9999","Balkans",""
"kosovo-republic","Republic of Kosovo","modern","2008","9999","Balkans",""
"greece-republic","Hellenic Republic","modern","1974","9999","Balkans",""
"cyprus-republic","Republic of Cyprus","modern","1960","9999","Eastern Mediterranean",""
"malta-republic","Republic of Malta","modern","1964","9999","Mediterranean",""
"ireland-republic","Irish Free State and Republic of Ireland","modern","1922","9999","British Isles",""
"iceland-republic","Republic of Iceland","modern","1944","9999","North Atlantic",""
"finland-grand-duchy","Grand Duchy of Finland","modern","1809","1917","Finland",""
"finland-republic","Republic of Finland","modern","1917","9999","Finland",""
"france-fifth","French Fifth Republic","modern","1958","9999","Western Europe",""
"spain-second-republic","Second Spanish Republic","modern","1931","1939","Iberia",""
"spain-franco","Spanish State under Franco","modern","1939","1978","Iberia",""
"austria-republic","Republic of Austria","modern","1918","9999","Central Europe",""
"switzerland-federal","Swiss Confederation","modern","1848","9999","Central Europe",""
"italian-republic","Italian Republic","modern","1946","9999","Italy",""
"vatican","Vatican City","modern","1929","9999","Italy",""
"san-marino","Republic of San Marino","medieval","301","9999","Italy",""
"monaco","Principality of Monaco","medieval","1297","9999","Western Europe",""
"andorra","Principality of Andorra","medieval","1278","9999","Pyrenees",""
"liechtenstein","Principality of Liechtenstein","early-modern","1719","9999","Central Europe",""
"united-states","United States","modern","1776","9999","North America","USA"
"confederation-canada","Dominion of Canada","modern","1867","9999","North America",""
"mexico-republic","United Mexican States","modern","1824","9999","North America","Mexico"
"haiti-republic","Republic of Haiti","modern","1806","9999","Caribbean",""
"dominican-republic","Dominican Republic","modern","1844","9999","Caribbean",""
"cuba-republic","Republic of Cuba","modern","1902","9999","Caribbean",""
"colombia-republic","Republic of Colombia","modern","1886","9999","South America",""
"venezuela-republic","United States of Venezuela / Venezuela","modern","1830","9999","South America",""
"ecuador-republic","Republic of Ecuador","modern","1830","9999","South America",""
"peru-republic","Republic of Peru","modern","1821","9999","South America",""
"bolivia-republic","Republic of Bolivia","modern","1825","9999","South America",""
"chile-republic","Republic of Chile","modern","1818","9999","South America",""
"argentina-confederation","Argentine Confederation","modern","1831","1861","South America",""
"argentina-republic","Argentine Republic","modern","1816","9999","South America",""
"paraguay-republic","Republic of Paraguay","modern","1811","9999","South America",""
"uruguay-republic","Oriental Republic of Uruguay","modern","1828","9999","South America",""
"brazil-republic","United States of Brazil / Federative Republic of Brazil","modern","1889","9999","South America",""
"guyana-republic","Co-operative Republic of Guyana","modern","1966","9999","South America",""
"suriname-republic","Republic of Suriname","modern","1975","9999","South America",""
"peru-bolivian-confed","Peru–Bolivian Confederation","modern","1836","1839","South America",""
"new-zealand-colony","Colony of New Zealand","modern","1841","1907","Oceania",""
"new-zealand-dominion","Dominion of New Zealand","modern","1907","1947","Oceania",""
"new-zealand","New Zealand","modern","1947","9999","Oceania",""
"hawaii-republic","Republic of Hawaii","modern","1894","1898","Pacific",""
"kingdom-tonga","Kingdom of Tonga","modern","1875","9999","Pacific",""
"kingdom-fiji","Kingdom of Fiji","modern","1871","1874","Pacific",""
"fiji-colony","Colony of Fiji","modern","1874","1970","Pacific",""
"fiji-republic","Republic of Fiji","modern","1987","9999","Pacific",""
"papua-new-guinea","Papua New Guinea","modern","1975","9999","Oceania",""
"indonesia-republic","Republic of Indonesia","modern","1945","9999","Southeast Asia",""
"malaysia-federation","Federation of Malaya / Malaysia","modern","1957","9999","Southeast Asia",""
"singapore-republic","Republic of Singapore","modern","1965","9999","Southeast Asia",""
"philippines-republic","Republic of the Philippines","modern","1946","9999","Southeast Asia",""
"vietnam-republic","Socialist Republic of Vietnam","modern","1976","9999","Southeast Asia",""
"north-vietnam","Democratic Republic of Vietnam","modern","1945","1976","Southeast Asia","North Vietnam"
"south-vietnam","Republic of Vietnam","modern","1955","1975","Southeast Asia","South Vietnam"
"laos-kingdom","Kingdom of Laos","modern","1949","1975","Southeast Asia",""
"laos-republic","Lao People's Democratic Republic","modern","1975","9999","Southeast Asia",""
"cambodia-kingdom","Kingdom of Cambodia","modern","1953","1970","Cambodia",""
"khmer-republic","Khmer Republic","modern","1970","1975","Cambodia",""
"democratic-kampuchea","Democratic Kampuchea","modern","1975","1979","Cambodia",""
"people-republic-kampuchea","People's Republic of Kampuchea","modern","1979","1989","Cambodia",""
"myanmar-republic","Union of Myanmar","modern","1989","9999","Southeast Asia",""
"malaya","Federation of Malaya","modern","1948","1963","Southeast Asia",""
"burma-colony","British Burma","modern","1886","1948","Southeast Asia",""
"thailand-modern","Kingdom of Thailand","modern","1932","9999","Southeast Asia",""
"japan-modern","State of Japan","modern","1947","9999","East Asia",""
"south-korea","Republic of Korea","modern","1948","9999","Korea",""
"north-korea","Democratic People's Republic of Korea","modern","1948","9999","Korea",""
"prc","People's Republic of China","modern","1949","9999","China",""
"mongolia-republic","Mongolia","modern","1992","9999","East Asia",""
"taiwan-government","Republic of China on Taiwan","modern","1949","9999","East Asia",""
"philippines-commonwealth","Commonwealth of the Philippines","modern","1935","1946","Southeast Asia",""
"manchukuo","Manchukuo","modern","1932","1945","Manchuria",""
"japan-korea","Korea under Japanese rule","modern","1910","1945","Korea",""
"tibet-autonomous","Tibetan government in Lhasa","modern","1912","1951","Tibet",""
"xinjiang-republic","East Turkestan Republic","modern","1944","1949","Xinjiang",""
